Job Title,Company,Location,Salary,Link
Data Scientist,ThirdEye Data,"Sech Bhavan, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=938dc60ec60f813d&fccid=5ae2aa5a37db12cb&vjs=3"")"
Assurance - Data Assurance - Associate - KOL,PwC,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=3270a7ab6709766d&fccid=5e964c4afc56b180&vjs=3"")"
Artificial Intelligence,newAmps Consulting,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=41a3819090967a11&fccid=a43d45d5ff43eaf8&vjs=3"")"
Linux System Engineer,Codeclouds IT Solutions Pvt. Ltd,"Kolkata, West Bengal","Rs.3,00,000 - Rs.5,50,000 a year","=HYPERLINK(""https://www.indeed.co.in/company/Codeclouds-IT-Solutions-Pvt.-Ltd/jobs/Linux-System-Engineer-75f0f1a70cabfe3c?fccid=635a4b86df957803&vjs=3"")"
Data Scientist,Thirdeye Data Analytics India Limited,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/company/Thirdeye-Data-Analytics-India-Limited/jobs/Data-Scientist-d39bc86a499248b7?fccid=bb4a1944b9d79623&vjs=3"")"
Software Development Professionals – C…,Rebaca,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=5611bc9321f93648&fccid=bd39a4363a85946a&vjs=3"")"
DevOps Professionals,Rebaca,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=0466e3c30c9b37f1&fccid=bd39a4363a85946a&vjs=3"")"
Software Development Engineer – Internet of Things (IoT),Distronix,"Kolkata, West Bengal","Rs.3,50,000 - Rs.5,50,000 a year","=HYPERLINK(""https://www.indeed.co.in/company/Distronix/jobs/Software-Development-Engineer-Internet-Thing-e204ef21eb4094f7?fccid=c061fa96faf06500&vjs=3"")"
Web Developers near Madhyamgram Wanted,AOTWO Web and Technology Pvt Ltd.,"Kolkata, West Bengal","Rs.8,000 - Rs.15,000 a month","=HYPERLINK(""https://www.indeed.co.in/company/AOTWO-Web-and-Technology-Pvt.-Ltd./jobs/Web-Developer-Near-Madhyamgram-583c09e8c841a5f3?fccid=2505bcdef8e3e937&vjs=3"")"
Sr. PHP Developer,WEBAMENITY,"Bagha Jatin, West Bengal","Rs.10,000 - Rs.15,000 a month","=HYPERLINK(""https://www.indeed.co.in/company/WEBAMENITY/jobs/Senior-PHP-Developer-0658ae750d398fa6?fccid=689cd25d9cc89bac&vjs=3"")"
Online Bidder / Business Development (Website and Mobile App),INTOLAP,"Garia, Kolkata, West Bengal","Rs.5,000 - Rs.20,000 a month","=HYPERLINK(""https://www.indeed.co.in/company/INTOLAP/jobs/Online-Bidder-130534f976fd5a64?fccid=85d10f908256d7c0&vjs=3"")"
"PHP Developer,",Globe Consultant,"Kolkata, West Bengal","Rs.15,000 - Rs.50,000 a month","=HYPERLINK(""https://www.indeed.co.in/company/Globe-Consultant/jobs/PHP-Developer-b5e549adc49d55c5?fccid=96272df5987f6d4a&vjs=3"")"
Quality Assurance Automation Engineer,Finomial,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=41bfa03c600fd0f1&fccid=ff60060573de0977&vjs=3"")"
Python Developer,2COMS Consulting Private Limited,"Chennai, Kolkata","5,40,000-6,60,000 INR","=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1500095&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Finance Analytics-Data Scientist,TATA Consultancy Services Ltd.,"Kolkata, Mumbai",Not Specified,"=HYPERLINK(""www.monsterindia.com/job-vacancy-finance-analytics-data-scientist-tata-consultancy-services-ltd-kolkata-mumbai-7-12-years-24923945.html"")"
