Job Title,Company,Location,Salary,Link
Automation Testing,Harjai Computers Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1462379&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Java,Maven Workforce Private Limited,Kolkata,"2,00,000-5,00,000 INR",www.monsterindia.com/seeker/job-details?id=1447915&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Programmer Analyst - Java,Sath Infotech Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1141932&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
urgent openings for Senior Developer - Kolkata,Talentico Consultancy Services,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1449850&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Senior Developer,Talentico Consultancy Services,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1448864&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Java Developer,Procure Techstaff Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1205994&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
QA Engineer / Senior QA Engineer / QA Lead,Mindteck (India) Limited,"Bengaluru / Bangalore, Kolkata",Not Specified,www.monsterindia.com/seeker/job-details?id=1459710&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
"Job Opening  For Java Developer (jr,/ Sr. / Team Lead / Project Manager",Procure Techstaff Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1362437&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Urgent need of PHP Developer,Interactive HR Spot Private Limited,Kolkata,"0-1,80,000 INR",www.monsterindia.com/seeker/job-details?id=1436979&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Java Developer,Procure Techstaff Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1200154&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Java Full stack Developer/java/Java Developer,Procure Techstaff Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1168712&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
US IT RECRUITER,US Tech Solutions Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1363319&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Position :  IT Recruiter.,2COMS Consulting Private Limited,"Hyderabad / Secunderabad, Kolkata",Not Specified,www.monsterindia.com/seeker/job-details?id=1440158&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
US Staffing,US Tech Solutions Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1344333&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Software Engineer/ Sr Software Engineer/ Team Leader/ Project Manager,Ics Consultancy Services,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1340955&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
US Staffing,US Tech Solutions Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1341485&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Senior Java-Kolkata_Perm,Arminus Software Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1507487&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Automation QA Engineer,2COMS Consulting Private Limited,Kolkata,"4,75,000-9,75,000 INR",www.monsterindia.com/seeker/job-details?id=1511790&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Urgent Opening For the Lead Java Developer - Kolkata,2COMS Consulting Private Limited,Kolkata,"5,00,000-12,00,000 INR",www.monsterindia.com/seeker/job-details?id=1468777&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
"Immediate Openings For Appium Tester – Kolkata,",TrueTech Solutions Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1511058&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
138493_C++_Kolkata_Perm,Arminus Software Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1507486&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Java FSD,Golden Opportunities Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1333089&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Android Developer,2COMS Consulting Private Limited,Kolkata,"4,75,000-9,75,000 INR",www.monsterindia.com/seeker/job-details?id=1511799&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
"Automation QA Engineer, Kolktaa",2COMS Consulting Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1500170&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Automation QA  Engineer,2COMS Consulting Private Limited,Kolkata,"3,00,000-6,00,000 INR",www.monsterindia.com/seeker/job-details?id=1498777&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Opp For Automation QA Engineer,2COMS Consulting Private Limited,Kolkata,"3,00,000-7,00,000 INR",www.monsterindia.com/seeker/job-details?id=1500173&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Programme Developer,Arminus Software Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1502782&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Sap PI-PO,Arminus Software Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1490045&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
